------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|       7  |      0  |      1.4336  |     0.7109  |   0.5907  |               |              0.3951  |
|          |      1  |      1.2695  |     0.8008  |   0.7325  |               |              0.7850  |
|          |      2  |      1.2158  |     0.8223  |   0.7546  |               |              1.1747  |
|          |      3  |      1.1455  |     0.8623  |   0.8182  |               |              1.5287  |
|          |      4  |      1.1484  |     0.8672  |   0.8370  |               |              1.8832  |
|          |      5  |      1.1133  |     0.8955  |   0.8236  |               |              2.2392  |
|          |      6  |      1.0605  |     0.9072  |   0.8855  |               |              2.5940  |
|          |      7  |      1.0459  |     0.9209  |   0.8852  |               |              2.9492  |
|          |      8  |      0.9712  |     0.9609  |   0.9171  |               |              3.3058  |
|          |      9  |      0.9590  |     0.9697  |   0.9278  |               |              3.6330  |
|          |   eval  |      0.9590  |     0.9697  |   0.9278  |       0.9360  |              3.7893  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.3887  |     0.7275  |   0.6896  |               |              0.4478  |
|          |      1  |      1.2891  |     0.7900  |   0.7081  |               |              0.8377  |
|          |      2  |      1.2402  |     0.8086  |   0.7835  |               |              1.2275  |
|          |      3  |      1.1797  |     0.8467  |   0.7604  |               |              1.5842  |
|          |      4  |      1.1162  |     0.8896  |   0.8208  |               |              1.9393  |
|          |      5  |      1.1133  |     0.8857  |   0.8338  |               |              2.2945  |
|          |      6  |      1.0537  |     0.9111  |   0.8888  |               |              2.6498  |
|          |      7  |      1.0371  |     0.9189  |   0.8943  |               |              3.0060  |
|          |      8  |      0.9961  |     0.9512  |   0.9174  |               |              3.3615  |
|          |      9  |      0.9678  |     0.9707  |   0.9271  |               |              3.6886  |
|          |   eval  |      0.9678  |     0.9707  |   0.9271  |       0.9346  |              3.8456  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4766  |     0.6846  |   0.6892  |               |              0.4426  |
|          |      1  |      1.2744  |     0.8027  |   0.7529  |               |              0.8321  |
|          |      2  |      1.2373  |     0.8145  |   0.7038  |               |              1.2244  |
|          |      3  |      1.1650  |     0.8574  |   0.7659  |               |              1.5801  |
|          |      4  |      1.1279  |     0.8799  |   0.8482  |               |              1.9381  |
|          |      5  |      1.0898  |     0.8926  |   0.8329  |               |              2.2923  |
|          |      6  |      1.0605  |     0.9180  |   0.8811  |               |              2.6490  |
|          |      7  |      1.0391  |     0.9219  |   0.8931  |               |              3.0065  |
|          |      8  |      0.9980  |     0.9443  |   0.9212  |               |              3.3628  |
|          |      9  |      0.9453  |     0.9795  |   0.9245  |               |              3.6915  |
|          |   eval  |      0.9453  |     0.9795  |   0.9245  |       0.9358  |              3.8498  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4170  |     0.7188  |   0.6763  |               |              0.4360  |
|          |      1  |      1.2764  |     0.8096  |   0.7407  |               |              0.8271  |
|          |      2  |      1.2090  |     0.8262  |   0.7652  |               |              1.2193  |
|          |      3  |      1.1807  |     0.8525  |   0.8064  |               |              1.5754  |
|          |      4  |      1.1377  |     0.8691  |   0.8570  |               |              1.9323  |
|          |      5  |      1.1133  |     0.8906  |   0.7851  |               |              2.2880  |
|          |      6  |      1.0684  |     0.9111  |   0.8736  |               |              2.6440  |
|          |      7  |      1.0459  |     0.9219  |   0.8887  |               |              3.0020  |
|          |      8  |      0.9961  |     0.9570  |   0.9193  |               |              3.3579  |
|          |      9  |      0.9448  |     0.9814  |   0.9274  |               |              3.6855  |
|          |   eval  |      0.9448  |     0.9814  |   0.9274  |       0.9357  |              3.8447  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4541  |     0.6953  |   0.6513  |               |              0.4316  |
|          |      1  |      1.2744  |     0.7910  |   0.6162  |               |              0.8222  |
|          |      2  |      1.2188  |     0.8203  |   0.7842  |               |              1.2155  |
|          |      3  |      1.1748  |     0.8535  |   0.8017  |               |              1.5717  |
|          |      4  |      1.1680  |     0.8594  |   0.8280  |               |              1.9292  |
|          |      5  |      1.1133  |     0.8799  |   0.8596  |               |              2.2856  |
|          |      6  |      1.0527  |     0.9111  |   0.8846  |               |              2.6413  |
|          |      7  |      1.0498  |     0.9102  |   0.8867  |               |              2.9996  |
|          |      8  |      1.0117  |     0.9424  |   0.9164  |               |              3.3571  |
|          |      9  |      0.9590  |     0.9639  |   0.9265  |               |              3.6854  |
|          |   eval  |      0.9590  |     0.9639  |   0.9265  |       0.9347  |              3.8441  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.3975  |     0.7139  |   0.6575  |               |              0.4485  |
|          |      1  |      1.2559  |     0.8105  |   0.7867  |               |              0.8402  |
|          |      2  |      1.2051  |     0.8359  |   0.7502  |               |              1.2337  |
|          |      3  |      1.1787  |     0.8438  |   0.8023  |               |              1.5915  |
|          |      4  |      1.1318  |     0.8818  |   0.8254  |               |              1.9494  |
|          |      5  |      1.1045  |     0.8750  |   0.8712  |               |              2.3073  |
|          |      6  |      1.0449  |     0.9238  |   0.8821  |               |              2.6646  |
|          |      7  |      1.0293  |     0.9316  |   0.8963  |               |              3.0235  |
|          |      8  |      0.9937  |     0.9492  |   0.9191  |               |              3.3807  |
|          |      9  |      0.9517  |     0.9775  |   0.9287  |               |              3.7093  |
|          |   eval  |      0.9517  |     0.9775  |   0.9287  |       0.9385  |              3.8678  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4307  |     0.6963  |   0.6000  |               |              0.4333  |
|          |      1  |      1.2744  |     0.8047  |   0.6430  |               |              0.8259  |
|          |      2  |      1.2295  |     0.8193  |   0.7627  |               |              1.2197  |
