------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|       7  |      0  |      1.4277  |     0.7139  |   0.6768  |               |              0.4566  |
|          |      1  |      1.2451  |     0.8184  |   0.6890  |               |              0.8681  |
|          |      2  |      1.2061  |     0.8350  |   0.7830  |               |              1.2807  |
|          |      3  |      1.1348  |     0.8750  |   0.8172  |               |              1.6601  |
|          |      4  |      1.1348  |     0.8750  |   0.8513  |               |              2.0378  |
|          |      5  |      1.0811  |     0.9082  |   0.8674  |               |              2.4153  |
|          |      6  |      1.0420  |     0.9258  |   0.8890  |               |              2.7932  |
|          |      7  |      1.0273  |     0.9277  |   0.8978  |               |              3.1723  |
|          |      8  |      0.9629  |     0.9658  |   0.9171  |               |              3.5516  |
|          |      9  |      0.9395  |     0.9775  |   0.9322  |               |              3.9004  |
|          |   eval  |      0.9395  |     0.9775  |   0.9322  |       0.9391  |              4.0673  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.3916  |     0.7393  |   0.6977  |               |              0.4137  |
|          |      1  |      1.2881  |     0.7891  |   0.6577  |               |              0.8244  |
|          |      2  |      1.2217  |     0.8164  |   0.7990  |               |              1.2393  |
|          |      3  |      1.1807  |     0.8506  |   0.7943  |               |              1.6169  |
|          |      4  |      1.1084  |     0.8779  |   0.8158  |               |              1.9959  |
|          |      5  |      1.0840  |     0.8955  |   0.8335  |               |              2.3751  |
|          |      6  |      1.0381  |     0.9238  |   0.8955  |               |              2.7532  |
|          |      7  |      1.0127  |     0.9404  |   0.9041  |               |              3.1320  |
|          |      8  |      0.9741  |     0.9570  |   0.9227  |               |              3.5107  |
|          |      9  |      0.9590  |     0.9668  |   0.9320  |               |              3.8586  |
|          |   eval  |      0.9590  |     0.9668  |   0.9320  |       0.9376  |              4.0265  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.5127  |     0.6348  |   0.5641  |               |              0.4152  |
|          |      1  |      1.2432  |     0.8213  |   0.7041  |               |              0.8284  |
|          |      2  |      1.2178  |     0.8311  |   0.6755  |               |              1.2449  |
|          |      3  |      1.1514  |     0.8623  |   0.7649  |               |              1.6248  |
|          |      4  |      1.1094  |     0.8867  |   0.8662  |               |              2.0035  |
|          |      5  |      1.0869  |     0.8906  |   0.8379  |               |              2.3833  |
|          |      6  |      1.0391  |     0.9180  |   0.8879  |               |              2.7631  |
|          |      7  |      1.0352  |     0.9307  |   0.9072  |               |              3.1423  |
|          |      8  |      0.9717  |     0.9639  |   0.9250  |               |              3.5213  |
|          |      9  |      0.9277  |     0.9834  |   0.9329  |               |              3.8701  |
|          |   eval  |      0.9277  |     0.9834  |   0.9329  |       0.9391  |              4.0380  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4238  |     0.7148  |   0.6685  |               |              0.4167  |
|          |      1  |      1.2627  |     0.8105  |   0.7794  |               |              0.8300  |
|          |      2  |      1.1846  |     0.8369  |   0.7153  |               |              1.2439  |
|          |      3  |      1.1592  |     0.8555  |   0.8205  |               |              1.6242  |
|          |      4  |      1.1250  |     0.8877  |   0.8520  |               |              2.0036  |
|          |      5  |      1.0898  |     0.8994  |   0.8425  |               |              2.3825  |
|          |      6  |      1.0469  |     0.9160  |   0.8937  |               |              2.7612  |
|          |      7  |      1.0186  |     0.9346  |   0.8864  |               |              3.1419  |
|          |      8  |      0.9834  |     0.9561  |   0.9257  |               |              3.5206  |
|          |      9  |      0.9312  |     0.9824  |   0.9333  |               |              3.8692  |
|          |   eval  |      0.9312  |     0.9824  |   0.9333  |       0.9415  |              4.0392  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4414  |     0.7119  |   0.6692  |               |              0.4304  |
|          |      1  |      1.2500  |     0.8027  |   0.7407  |               |              0.8443  |
|          |      2  |      1.1885  |     0.8438  |   0.7547  |               |              1.2599  |
|          |      3  |      1.1523  |     0.8623  |   0.7995  |               |              1.6406  |
|          |      4  |      1.1514  |     0.8691  |   0.8607  |               |              2.0208  |
|          |      5  |      1.0859  |     0.9023  |   0.8776  |               |              2.4006  |
|          |      6  |      1.0439  |     0.9248  |   0.8984  |               |              2.7798  |
|          |      7  |      1.0352  |     0.9238  |   0.8988  |               |              3.1603  |
|          |      8  |      0.9888  |     0.9434  |   0.9228  |               |              3.5412  |
|          |      9  |      0.9380  |     0.9844  |   0.9350  |               |              3.8912  |
|          |   eval  |      0.9380  |     0.9844  |   0.9350  |       0.9416  |              4.0596  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4424  |     0.6973  |   0.6410  |               |              0.4340  |
|          |      1  |      1.2588  |     0.8047  |   0.7715  |               |              0.8471  |
|          |      2  |      1.1992  |     0.8496  |   0.7678  |               |              1.2619  |
|          |      3  |      1.1943  |     0.8350  |   0.6717  |               |              1.6422  |
|          |      4  |      1.1279  |     0.8760  |   0.8477  |               |              2.0219  |
|          |      5  |      1.1016  |     0.8857  |   0.8609  |               |              2.4035  |
|          |      6  |      1.0371  |     0.9268  |   0.8959  |               |              2.7835  |
|          |      7  |      1.0186  |     0.9326  |   0.8976  |               |              3.1644  |
|          |      8  |      0.9775  |     0.9541  |   0.9228  |               |              3.5444  |
|          |      9  |      0.9331  |     0.9844  |   0.9324  |               |              3.8947  |
|          |   eval  |      0.9331  |     0.9844  |   0.9324  |       0.9399  |              4.0641  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4395  |     0.6953  |   0.5773  |               |              0.4171  |
|          |      1  |      1.3037  |     0.7666  |   0.6634  |               |              0.8308  |
|          |      2  |      1.2256  |     0.8330  |   0.7858  |               |              1.2453  |
|          |      3  |      1.1582  |     0.8652  |   0.8417  |               |              1.6255  |
|          |      4  |      1.1475  |     0.8662  |   0.8424  |               |              2.0071  |
|          |      5  |      1.0840  |     0.8965  |   0.8585  |               |              2.3875  |
|          |      6  |      1.0488  |     0.9033  |   0.8950  |               |              2.7676  |
|          |      7  |      1.0254  |     0.9209  |   0.9049  |               |              3.1492  |
