------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|       7  |      0  |      1.4121  |     0.7334  |   0.6852  |               |              0.4785  |
|          |      1  |      1.2725  |     0.7979  |   0.7576  |               |              0.8824  |
|          |      2  |      1.1719  |     0.8516  |   0.8127  |               |              1.2977  |
|          |      3  |      1.1367  |     0.8750  |   0.8228  |               |              1.6714  |
|          |      4  |      1.1045  |     0.8838  |   0.8206  |               |              2.0456  |
|          |      5  |      1.1045  |     0.8896  |   0.7647  |               |              2.4183  |
|          |      6  |      1.0293  |     0.9307  |   0.8841  |               |              2.7928  |
|          |      7  |      1.0195  |     0.9316  |   0.9028  |               |              3.1662  |
|          |      8  |      0.9722  |     0.9590  |   0.9171  |               |              3.5398  |
|          |      9  |      0.9307  |     0.9834  |   0.9305  |               |              3.8836  |
|          |   eval  |      0.9307  |     0.9834  |   0.9305  |       0.9396  |              4.0522  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4160  |     0.7246  |   0.6827  |               |              0.4102  |
|          |      1  |      1.2695  |     0.7930  |   0.7442  |               |              0.8172  |
|          |      2  |      1.1875  |     0.8545  |   0.7641  |               |              1.2260  |
|          |      3  |      1.1455  |     0.8633  |   0.7598  |               |              1.5990  |
|          |      4  |      1.1260  |     0.8809  |   0.8470  |               |              1.9747  |
|          |      5  |      1.0752  |     0.9072  |   0.8619  |               |              2.3474  |
|          |      6  |      1.0430  |     0.9268  |   0.8910  |               |              2.7221  |
|          |      7  |      1.0098  |     0.9424  |   0.8930  |               |              3.0973  |
|          |      8  |      0.9839  |     0.9600  |   0.9122  |               |              3.4713  |
|          |      9  |      0.9272  |     0.9824  |   0.9286  |               |              3.8154  |
|          |   eval  |      0.9272  |     0.9824  |   0.9286  |       0.9389  |              3.9824  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4258  |     0.6982  |   0.7012  |               |              0.4367  |
|          |      1  |      1.2324  |     0.8193  |   0.6936  |               |              0.8425  |
|          |      2  |      1.2100  |     0.8242  |   0.6417  |               |              1.2518  |
|          |      3  |      1.1221  |     0.8867  |   0.8206  |               |              1.6260  |
|          |      4  |      1.1250  |     0.8828  |   0.8200  |               |              2.0006  |
|          |      5  |      1.0811  |     0.9092  |   0.8650  |               |              2.3757  |
|          |      6  |      1.0264  |     0.9355  |   0.8762  |               |              2.7506  |
|          |      7  |      1.0293  |     0.9316  |   0.9011  |               |              3.1263  |
|          |      8  |      0.9683  |     0.9619  |   0.9228  |               |              3.5022  |
|          |      9  |      0.9326  |     0.9814  |   0.9323  |               |              3.8459  |
|          |   eval  |      0.9326  |     0.9814  |   0.9323  |       0.9390  |              4.0139  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.3984  |     0.7197  |   0.6748  |               |              0.4751  |
|          |      1  |      1.2764  |     0.7842  |   0.6416  |               |              0.8825  |
|          |      2  |      1.2178  |     0.8262  |   0.7593  |               |              1.2919  |
|          |      3  |      1.1289  |     0.8896  |   0.8208  |               |              1.6670  |
|          |      4  |      1.1104  |     0.8809  |   0.8620  |               |              2.0437  |
|          |      5  |      1.0918  |     0.8936  |   0.7835  |               |              2.4190  |
|          |      6  |      1.0312  |     0.9219  |   0.8932  |               |              2.7950  |
|          |      7  |      1.0195  |     0.9336  |   0.8993  |               |              3.1697  |
|          |      8  |      0.9678  |     0.9688  |   0.9242  |               |              3.5460  |
|          |      9  |      0.9326  |     0.9814  |   0.9336  |               |              3.8902  |
|          |   eval  |      0.9326  |     0.9814  |   0.9336  |       0.9408  |              4.0584  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4150  |     0.7080  |   0.6076  |               |              0.4116  |
|          |      1  |      1.2422  |     0.8115  |   0.7629  |               |              0.8199  |
|          |      2  |      1.2197  |     0.8281  |   0.8062  |               |              1.2283  |
|          |      3  |      1.1670  |     0.8486  |   0.6864  |               |              1.6033  |
|          |      4  |      1.1582  |     0.8516  |   0.8038  |               |              1.9792  |
|          |      5  |      1.0713  |     0.9121  |   0.8160  |               |              2.3548  |
|          |      6  |      1.0479  |     0.9150  |   0.8924  |               |              2.7309  |
|          |      7  |      1.0254  |     0.9277  |   0.8937  |               |              3.1059  |
|          |      8  |      0.9722  |     0.9609  |   0.9210  |               |              3.4815  |
|          |      9  |      0.9312  |     0.9844  |   0.9322  |               |              3.8260  |
|          |   eval  |      0.9312  |     0.9844  |   0.9322  |       0.9417  |              3.9944  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4102  |     0.7246  |   0.5886  |               |              0.4111  |
|          |      1  |      1.2637  |     0.7979  |   0.7767  |               |              0.8183  |
|          |      2  |      1.2119  |     0.8418  |   0.6494  |               |              1.2329  |
|          |      3  |      1.1426  |     0.8838  |   0.8280  |               |              1.6084  |
|          |      4  |      1.1172  |     0.8818  |   0.7923  |               |              1.9900  |
|          |      5  |      1.1172  |     0.8887  |   0.8326  |               |              2.3660  |
|          |      6  |      1.0254  |     0.9219  |   0.8848  |               |              2.7433  |
|          |      7  |      1.0254  |     0.9248  |   0.8900  |               |              3.1209  |
|          |      8  |      0.9673  |     0.9609  |   0.9161  |               |              3.4968  |
|          |      9  |      0.9253  |     0.9854  |   0.9298  |               |              3.8437  |
|          |   eval  |      0.9253  |     0.9854  |   0.9298  |       0.9389  |              4.0140  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4111  |     0.7314  |   0.6629  |               |              0.4117  |
|          |      1  |      1.2275  |     0.8320  |   0.7414  |               |              0.8196  |
|          |      2  |      1.2012  |     0.8330  |   0.6801  |               |              1.2307  |
|          |      3  |      1.1475  |     0.8613  |   0.7874  |               |              1.6068  |
|          |      4  |      1.1084  |     0.8809  |   0.8019  |               |              1.9839  |
|          |      5  |      1.0615  |     0.9189  |   0.8590  |               |              2.3601  |
|          |      6  |      1.0596  |     0.9023  |   0.8675  |               |              2.7369  |
|          |      7  |      1.0176  |     0.9326  |   0.8924  |               |              3.1139  |
|          |      8  |      0.9756  |     0.9600  |   0.9189  |               |              3.4908  |
|          |      9  |      0.9268  |     0.9863  |   0.9301  |               |              3.8359  |
|          |   eval  |      0.9268  |     0.9863  |   0.9301  |       0.9386  |              4.0054  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.3945  |     0.7383  |   0.6489  |               |              0.4120  |
|          |      1  |      1.2334  |     0.8223  |   0.7400  |               |              0.8207  |
|          |      2  |      1.1553  |     0.8721  |   0.8104  |               |              1.2340  |
|          |      3  |      1.1445  |     0.8770  |   0.8055  |               |              1.6108  |
|          |      4  |      1.1025  |     0.8867  |   0.8423  |               |              1.9890  |
|          |      5  |      1.0742  |     0.9062  |   0.8583  |               |              2.3658  |
|          |      6  |      1.0391  |     0.9268  |   0.8873  |               |              2.7437  |
|          |      7  |      1.0234  |     0.9355  |   0.8906  |               |              3.1202  |
|          |      8  |      0.9678  |     0.9600  |   0.9157  |               |              3.4973  |
