------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|       7  |      0  |      1.4229  |     0.7178  |   0.6639  |               |              0.4298  |
|          |      1  |      1.2256  |     0.8271  |   0.7766  |               |              0.8422  |
|          |      2  |      1.1670  |     0.8525  |   0.8339  |               |              1.2553  |
|          |      3  |      1.0947  |     0.9131  |   0.8785  |               |              1.6347  |
|          |      4  |      1.0762  |     0.9062  |   0.8810  |               |              2.0152  |
|          |      5  |      1.0508  |     0.9180  |   0.8946  |               |              2.3956  |
|          |      6  |      1.0166  |     0.9482  |   0.9054  |               |              2.7751  |
|          |      7  |      1.0107  |     0.9502  |   0.9019  |               |              3.1885  |
|          |      8  |      0.9707  |     0.9727  |   0.9174  |               |              3.6007  |
|          |      9  |      0.9766  |     0.9707  |   0.9201  |               |              3.9810  |
|          |   eval  |      0.9766  |     0.9707  |   0.9201  |       0.9290  |              4.1509  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.3916  |     0.7393  |   0.7000  |               |              0.4163  |
|          |      1  |      1.2461  |     0.8096  |   0.7615  |               |              0.8304  |
|          |      2  |      1.1689  |     0.8623  |   0.8388  |               |              1.2446  |
|          |      3  |      1.1289  |     0.8789  |   0.8595  |               |              1.6259  |
|          |      4  |      1.0576  |     0.9170  |   0.8865  |               |              2.0053  |
|          |      5  |      1.0488  |     0.9326  |   0.8757  |               |              2.3877  |
|          |      6  |      1.0146  |     0.9434  |   0.8981  |               |              2.7681  |
|          |      7  |      0.9951  |     0.9639  |   0.9080  |               |              3.1804  |
|          |      8  |      0.9907  |     0.9570  |   0.9131  |               |              3.5932  |
|          |      9  |      0.9868  |     0.9697  |   0.9132  |               |              3.9731  |
|          |   eval  |      0.9868  |     0.9697  |   0.9132  |       0.9269  |              4.1426  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4551  |     0.6855  |   0.6968  |               |              0.4166  |
|          |      1  |      1.2217  |     0.8398  |   0.7890  |               |              0.8301  |
|          |      2  |      1.1748  |     0.8496  |   0.7469  |               |              1.2459  |
|          |      3  |      1.1133  |     0.8926  |   0.8584  |               |              1.6277  |
|          |      4  |      1.0576  |     0.9121  |   0.8897  |               |              2.0086  |
|          |      5  |      1.0312  |     0.9385  |   0.8906  |               |              2.3926  |
|          |      6  |      1.0078  |     0.9492  |   0.9020  |               |              2.7746  |
|          |      7  |      1.0088  |     0.9482  |   0.9094  |               |              3.1885  |
|          |      8  |      0.9863  |     0.9609  |   0.9129  |               |              3.6021  |
|          |      9  |      0.9648  |     0.9766  |   0.9191  |               |              3.9828  |
|          |   eval  |      0.9648  |     0.9766  |   0.9191  |       0.9282  |              4.1515  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4180  |     0.7236  |   0.7019  |               |              0.4166  |
|          |      1  |      1.2559  |     0.8047  |   0.7524  |               |              0.8315  |
|          |      2  |      1.1631  |     0.8643  |   0.8370  |               |              1.2504  |
|          |      3  |      1.1104  |     0.8887  |   0.8642  |               |              1.6302  |
|          |      4  |      1.0771  |     0.9062  |   0.8734  |               |              2.0167  |
|          |      5  |      1.0449  |     0.9346  |   0.8873  |               |              2.3971  |
|          |      6  |      1.0234  |     0.9385  |   0.8955  |               |              2.7778  |
|          |      7  |      1.0039  |     0.9521  |   0.9082  |               |              3.1937  |
|          |      8  |      0.9917  |     0.9609  |   0.9117  |               |              3.6082  |
|          |      9  |      0.9663  |     0.9785  |   0.9154  |               |              3.9916  |
|          |   eval  |      0.9663  |     0.9785  |   0.9154  |       0.9289  |              4.1615  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4424  |     0.7129  |   0.6863  |               |              0.4178  |
