------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|       7  |      0  |      1.4395  |     0.6973  |   0.6188  |               |              0.4204  |
|          |      1  |      1.2207  |     0.8447  |   0.7791  |               |              0.8391  |
|          |      2  |      1.2100  |     0.8350  |   0.6922  |               |              1.2588  |
|          |      3  |      1.1650  |     0.8535  |   0.7985  |               |              1.6429  |
|          |      4  |      1.1191  |     0.8955  |   0.8570  |               |              2.0283  |
|          |      5  |      1.0820  |     0.8984  |   0.8332  |               |              2.4126  |
|          |      6  |      1.0527  |     0.9180  |   0.8728  |               |              2.7980  |
|          |      7  |      1.0049  |     0.9443  |   0.9009  |               |              3.1815  |
|          |      8  |      0.9956  |     0.9482  |   0.9132  |               |              3.5667  |
|          |      9  |      0.9409  |     0.9795  |   0.9276  |               |              3.9189  |
|          |   eval  |      0.9409  |     0.9795  |   0.9276  |       0.9377  |              4.0876  |
------------------------------------------------------------------------------------------------------
|       8  |      0  |      1.4600  |     0.6924  |   0.6831  |               |              0.4455  |
|          |      1  |      1.2686  |     0.7979  |   0.6735  |               |              0.8628  |
|          |      2  |      1.1836  |     0.8457  |   0.7140  |               |              1.2861  |
|          |      3  |      1.1777  |     0.8486  |   0.7975  |               |              1.6715  |
|          |      4  |      1.1055  |     0.8867  |   0.8550  |               |              2.0562  |
|          |      5  |      1.0908  |     0.8906  |   0.8604  |               |              2.4413  |
|          |      6  |      1.0527  |     0.9121  |   0.8797  |               |              2.8273  |
|          |      7  |      1.0205  |     0.9365  |   0.8995  |               |              3.2122  |
|          |      8  |      0.9614  |     0.9707  |   0.9164  |               |              3.5976  |
|          |      9  |      0.9541  |     0.9717  |   0.9283  |               |              3.9508  |
|          |   eval  |      0.9541  |     0.9717  |   0.9283  |       0.9376  |              4.1210  |
------------------------------------------------------------------------------------------------------
|       9  |      0  |      1.4326  |     0.7031  |   0.6813  |               |              0.4197  |
|          |      1  |      1.2422  |     0.8174  |   0.6424  |               |              0.8383  |
|          |      2  |      1.2139  |     0.8203  |   0.7439  |               |              1.2594  |
|          |      3  |      1.1523  |     0.8711  |   0.8227  |               |              1.6441  |
|          |      4  |      1.1025  |     0.8867  |   0.8713  |               |              2.0310  |
|          |      5  |      1.0928  |     0.8994  |   0.8464  |               |              2.4163  |
|          |      6  |      1.0205  |     0.9336  |   0.8590  |               |              2.8020  |
|          |      7  |      1.0098  |     0.9365  |   0.8940  |               |              3.1879  |
|          |      8  |      0.9683  |     0.9639  |   0.9237  |               |              3.5726  |
|          |      9  |      0.9497  |     0.9746  |   0.9299  |               |              3.9282  |
|          |   eval  |      0.9497  |     0.9746  |   0.9299  |       0.9388  |              4.0990  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4580  |     0.7012  |   0.6325  |               |              0.4205  |
|          |      1  |      1.2422  |     0.8115  |   0.7687  |               |              0.8393  |
|          |      2  |      1.1982  |     0.8369  |   0.7732  |               |              1.2600  |
|          |      3  |      1.1826  |     0.8379  |   0.7749  |               |              1.6449  |
|          |      4  |      1.1348  |     0.8770  |   0.8629  |               |              2.0323  |
|          |      5  |      1.1035  |     0.8770  |   0.8377  |               |              2.4179  |
|          |      6  |      1.0518  |     0.9229  |   0.8863  |               |              2.8037  |
|          |      7  |      1.0068  |     0.9346  |   0.9033  |               |              3.1902  |
|          |      8  |      0.9814  |     0.9561  |   0.9206  |               |              3.5752  |
|          |      9  |      0.9429  |     0.9736  |   0.9294  |               |              3.9305  |
|          |   eval  |      0.9429  |     0.9736  |   0.9294  |       0.9382  |              4.1021  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4385  |     0.6992  |   0.6039  |               |              0.4213  |
|          |      1  |      1.2354  |     0.8320  |   0.7596  |               |              0.8411  |
|          |      2  |      1.2158  |     0.8193  |   0.7858  |               |              1.2617  |
|          |      3  |      1.1836  |     0.8398  |   0.7453  |               |              1.6478  |
|          |      4  |      1.1104  |     0.8867  |   0.8743  |               |              2.0335  |
|          |      5  |      1.0830  |     0.8994  |   0.8553  |               |              2.4210  |
|          |      6  |      1.0479  |     0.9238  |   0.8904  |               |              2.8078  |
|          |      7  |      1.0049  |     0.9424  |   0.8985  |               |              3.1943  |
|          |      8  |      0.9741  |     0.9580  |   0.9196  |               |              3.5803  |
|          |      9  |      0.9541  |     0.9727  |   0.9264  |               |              3.9350  |
|          |   eval  |      0.9541  |     0.9727  |   0.9264  |       0.9371  |              4.1037  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4316  |     0.7012  |   0.6693  |               |              0.4221  |
|          |      1  |      1.2695  |     0.8018  |   0.7315  |               |              0.8411  |
|          |      2  |      1.1797  |     0.8574  |   0.7798  |               |              1.2651  |
|          |      3  |      1.1514  |     0.8604  |   0.8398  |               |              1.6516  |
|          |      4  |      1.1035  |     0.8965  |   0.8576  |               |              2.0390  |
|          |      5  |      1.0850  |     0.8906  |   0.8395  |               |              2.4245  |
|          |      6  |      1.0293  |     0.9414  |   0.8874  |               |              2.8118  |
|          |      7  |      1.0068  |     0.9414  |   0.9053  |               |              3.1991  |
|          |      8  |      0.9785  |     0.9570  |   0.9217  |               |              3.5854  |
|          |      9  |      0.9380  |     0.9795  |   0.9304  |               |              3.9415  |
